Place,Country
"Bunaken Marine Park","Indonesia"
"Jaipur","India"
"Ajanta Caves","India"
"Taj Mahal","India"
"Borobudur","Indonesia"
"Raja Ampat Islands","Indonesia"
"Bali","Indonesia"
"Masada","Israel"
"Isfahan","Iran"
"Nara Park","Japan"
"Paris","France"
"Machu Picchu","Peru"
"Colosseum","Rome"
"London","England"
"Great Barrier Reef","Australia"
"Maldives","Maldives"
"Phuket","Thailand"
"Pamukale","Turkey"
"New York City","United States"
"Barcelona","Spain"
"Amsterdam","Netherlands"
"Mumbai","Maharashtra"
"San Francisco","United States"
"Santorini","Greece"
"Prague","Czech Republic"
"Amalfi","Italy"
"Angkor Wat","Cambodia"
"Sydney","Australia"
"Bankok","Thailand"
"Dubai","United Arab Emirates"
"Pyramids of Giza","Egypt"
"Kolkata","India"
"Florence","Italy"
"Kerry", "Ireland"
"Marrakesh","Morocco"
"Cape Town","South Africa"
"Dubrovnik","Croatia"
"Edinburgh","Scotland"
"Paro Valley","Bhutan"
"Kathmandu","Bhutan"
"Waikato","New Zealand"
"Havana","Cuba"
"Vancouver","Canada"
"Moscow","Russia"
"Rio de Janeiro","Brazil"
"Petra","Jordan"
"Santiago","Chile"
"Cairo","Egypt"
"Seoul","Korea"
"Copenhagen","Denmark"
